epoch,loss,mae,val_loss,val_mae,learning_rate
0,0.3234965205192566,0.1997772753238678,0.0005501956329680979,0.022949865087866783,0.0010000000474974513
1,0.27694806456565857,0.1665564626455307,0.0008492601336911321,0.028511518612504005,0.0010000000474974513
2,0.26848965883255005,0.1588192880153656,0.0008331071585416794,0.028627824038267136,0.0010000000474974513
3,0.263039767742157,0.15321563184261322,0.0007133302860893309,0.02652384340763092,0.0010000000474974513
4,0.2519910931587219,0.14821603894233704,0.0004700787831097841,0.021472526714205742,0.0005000000237487257
5,0.2498588114976883,0.14561960101127625,0.0005521420971490443,0.023428641259670258,0.0005000000237487257
6,0.24416574835777283,0.14277006685733795,0.0004712459340225905,0.021575065329670906,0.0005000000237487257
7,0.2397688925266266,0.14145873486995697,0.00039233171264640987,0.019593095406889915,0.0002500000118743628
8,0.23615911602973938,0.13874602317810059,0.000372031528968364,0.019050514325499535,0.0002500000118743628
9,0.23513536155223846,0.13760899007320404,0.000313619791995734,0.017581777647137642,0.0002500000118743628
10,0.23419956862926483,0.13666464388370514,0.0003030765801668167,0.017289696261286736,0.0002500000118743628
11,0.22922161221504211,0.13487301766872406,0.0003350202168803662,0.018208464607596397,0.0001250000059371814
12,0.22798100113868713,0.13470353186130524,0.00032754018320702016,0.017950767651200294,0.0001250000059371814
13,0.22642596065998077,0.13397938013076782,0.00031160193611867726,0.017550837248563766,0.0001250000059371814
14,0.22211451828479767,0.13231629133224487,0.0002891799667850137,0.016898263245821,6.25000029685907e-05
15,0.22311505675315857,0.1322312355041504,0.00031132035655900836,0.01753859966993332,6.25000029685907e-05
16,0.22262996435165405,0.13224628567695618,0.00029923897818662226,0.017184071242809296,6.25000029685907e-05
17,0.21947702765464783,0.13168522715568542,0.00029413061565719545,0.01701412908732891,6.25000029685907e-05
18,0.22045403718948364,0.13129960000514984,0.00026301920297555625,0.01608571782708168,3.125000148429535e-05
19,0.21846723556518555,0.13132119178771973,0.0002592599776107818,0.01595505326986313,3.125000148429535e-05
20,0.21969377994537354,0.1309063881635666,0.00025458334130235016,0.015802720561623573,3.125000148429535e-05
21,0.21746163070201874,0.1305493414402008,0.0002452341723255813,0.015506462194025517,1.5625000742147677e-05
22,0.21826401352882385,0.13071715831756592,0.00024225666129495949,0.015403101220726967,1.5625000742147677e-05
23,0.2186345010995865,0.13049013912677765,0.00024155060236807913,0.015385105274617672,1.5625000742147677e-05
24,0.21582838892936707,0.1301983892917633,0.00023092514311429113,0.015036210417747498,7.812500371073838e-06
25,0.2161734700202942,0.1304454505443573,0.00023345187946688384,0.015119281597435474,7.812500371073838e-06
26,0.21642936766147614,0.1302369087934494,0.0002397199277766049,0.015327994711697102,7.812500371073838e-06
27,0.21666377782821655,0.1301211565732956,0.00023495664936490357,0.015171954408288002,3.906250185536919e-06
28,0.217069610953331,0.1304347813129425,0.00023178364790510386,0.015066301450133324,3.906250185536919e-06
29,0.21650561690330505,0.13025881350040436,0.0002404049300821498,0.015348020941019058,3.906250185536919e-06
30,0.21531100571155548,0.1302361637353897,0.0002400396770099178,0.01533565018326044,1.9531250927684596e-06
31,0.21494190394878387,0.12987864017486572,0.000241690271650441,0.015388776548206806,1.9531250927684596e-06
